STATION,NAME,DATE,PRCP,SNOW
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/22/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/23/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/24/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/25/18,0.72,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/26/18,0.21,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/27/18,0.54,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/28/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/29/18,0.05,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/30/18,0.2,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/1/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/2/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/3/18,0.09,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/4/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/5/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/6/18,0.19,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/7/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/8/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/9/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/10/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/11/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/12/18,0.21,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/13/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/14/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/15/18,1,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/16/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/17/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/18/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/19/18,0.2,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/20/18,0.08,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/21/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/22/18,0.03,0
